mode_of_payment;id_payment
Insurance;1
Card;3
Digital Wallet;5
Insurance;7
Insurance;9
Card;11
Card;13
Card;15
Cash;17
Card;19
Cash;21
Insurance;23
Card;25
Digital Wallet;27
Insurance;29
Cash;31
Insurance;33
Digital Wallet;35
Card;37
Cash;39
Insurance;41
Card;43
Card;45
Cash;47
Cash;49
Cash;51
Card;53
Card;55
Card;57
Digital Wallet;59
Card;61
Digital Wallet;63
Cash;65
Card;67
Insurance;69
Digital Wallet;71
Digital Wallet;73
Card;75
Card;77
Digital Wallet;79
Card;81
Insurance;83
Cash;85
Digital Wallet;87
Cash;89
Card;91
Insurance;93
Digital Wallet;95
Cash;97
Cash;99
Cash;101
Card;103
Digital Wallet;105
Card;107
Insurance;109
Cash;111
Digital Wallet;113
Digital Wallet;115
Digital Wallet;117
Digital Wallet;119
Insurance;121
Insurance;123
Digital Wallet;125
Insurance;127
Card;129
Cash;131
Insurance;133
Digital Wallet;135
Insurance;137
Digital Wallet;139
Card;141
Card;143
Card;145
Card;147
Card;149
Digital Wallet;151
Cash;153
Insurance;155
Cash;157
Card;159
Insurance;161
Insurance;163
Insurance;165
Cash;167
Cash;169
Card;171
Digital Wallet;173
Card;175
Cash;177
Card;179
Insurance;181
Cash;183
Digital Wallet;185
Digital Wallet;187
Insurance;189
Digital Wallet;191
Digital Wallet;193
Cash;195
Cash;197
Card;199
Card;201
Digital Wallet;203
Cash;205
Cash;207
Digital Wallet;209
Cash;211
Insurance;213
Digital Wallet;215
Card;217
Insurance;219
Cash;221
Insurance;223
Insurance;225
Insurance;227
Insurance;229
Cash;231
Insurance;233
Cash;235
Insurance;237
Card;239
Digital Wallet;241
Card;243
Digital Wallet;245
Digital Wallet;247
Card;249
Insurance;251
Cash;253
Insurance;255
Digital Wallet;257
Digital Wallet;259
Insurance;261
Insurance;263
Card;265
Insurance;267
Card;269
Cash;271
Card;273
Insurance;275
Insurance;277
Digital Wallet;279
Cash;281
Cash;283
Cash;285
Digital Wallet;287
Digital Wallet;289
Insurance;291
Insurance;293
Digital Wallet;295
Insurance;297
Card;299
Cash;301
Insurance;303
Insurance;305
Card;307
Cash;309
Cash;311
Card;313
Cash;315
Digital Wallet;317
Card;319
Insurance;321
Insurance;323
Cash;325
Card;327
Digital Wallet;329
Digital Wallet;331
Digital Wallet;333
Insurance;335
Card;337
Digital Wallet;339
Digital Wallet;341
Card;343
Cash;345
Digital Wallet;347
Card;349
Card;351
Insurance;353
Cash;355
Cash;357
Digital Wallet;359
Cash;361
Digital Wallet;363
Digital Wallet;365
Insurance;367
Cash;369
Cash;371
Insurance;373
Card;375
Digital Wallet;377
Cash;379
Cash;381
Insurance;383
Card;385
Card;387
Digital Wallet;389
Card;391
Card;393
Card;395
Digital Wallet;397
Cash;399
Insurance;401
Cash;403
Card;405
Digital Wallet;407
Card;409
Cash;411
Card;413
Cash;415
Card;417
Insurance;419
Card;421
Digital Wallet;423
Cash;425
Cash;427
Digital Wallet;429
Cash;431
Insurance;433
Insurance;435
Digital Wallet;437
Cash;439
Digital Wallet;441
Digital Wallet;443
Insurance;445
Insurance;447
Card;449
Insurance;451
Digital Wallet;453
Insurance;455
Cash;457
Cash;459
Insurance;461
Insurance;463
Insurance;465
Card;467
Cash;469
Cash;471
Insurance;473
Digital Wallet;475
Digital Wallet;477
Digital Wallet;479
Digital Wallet;481
Digital Wallet;483
Digital Wallet;485
Digital Wallet;487
Insurance;489
Insurance;491
Cash;493
Insurance;495
Card;497
Card;499
Cash;501
Digital Wallet;503
Insurance;505
Digital Wallet;507
Digital Wallet;509
Cash;511
Digital Wallet;513
Insurance;515
Insurance;517
Digital Wallet;519
Card;521
Digital Wallet;523
Digital Wallet;525
Cash;527
Digital Wallet;529
Digital Wallet;531
Card;533
Insurance;535
Digital Wallet;537
Cash;539
Insurance;541
Card;543
Digital Wallet;545
Card;547
Digital Wallet;549
Card;551
Cash;553
Digital Wallet;555
Card;557
Cash;559
Card;561
Cash;563
Card;565
Insurance;567
Cash;569
Digital Wallet;571
Digital Wallet;573
Card;575
Digital Wallet;577
Insurance;579
Digital Wallet;581
Insurance;583
Card;585
Digital Wallet;587
Cash;589
Card;591
Insurance;593
Digital Wallet;595
Card;597
Insurance;599
Digital Wallet;601
Cash;603
Insurance;605
Digital Wallet;607
Cash;609
Card;611
Card;613
Insurance;615
Insurance;617
Cash;619
Cash;621
Card;623
Cash;625
Digital Wallet;627
Cash;629
Cash;631
Insurance;633
Insurance;635
Insurance;637
Digital Wallet;639
Card;641
Digital Wallet;643
Cash;645
Digital Wallet;647
Card;649
Digital Wallet;651
Cash;653
Card;655
Cash;657
Cash;659
Card;661
Digital Wallet;663
Insurance;665
Insurance;667
Insurance;669
Digital Wallet;671
Digital Wallet;673
Card;675
Insurance;677
Card;679
Cash;681
Digital Wallet;683
Insurance;685
Insurance;687
Card;689
Cash;691
Cash;693
Digital Wallet;695
Cash;697
Cash;699
Card;701
Digital Wallet;703
Insurance;705
Digital Wallet;707
Digital Wallet;709
Digital Wallet;711
Digital Wallet;713
Insurance;715
Cash;717
Card;719
Card;721
Insurance;723
Digital Wallet;725
Digital Wallet;727
Card;729
Insurance;731
Digital Wallet;733
Digital Wallet;735
Cash;737
Cash;739
Digital Wallet;741
Cash;743
Cash;745
Insurance;747
Cash;749
Insurance;751
Card;753
Cash;755
Cash;757
Cash;759
Digital Wallet;761
Digital Wallet;763
Cash;765
Card;767
Card;769
Insurance;771
Card;773
Insurance;775
Card;777
Digital Wallet;779
Insurance;781
Insurance;783
Cash;785
Insurance;787
Insurance;789
Cash;791
Cash;793
Insurance;795
Insurance;797
Card;799
